都道府県,開始日,終了日,救急搬送困難事案数
長野県,"2020-06-22","2020-06-28",0
岐阜県,"2020-06-22","2020-06-28",0
静岡県,"2020-06-22","2020-06-28",2
愛知県,"2020-06-22","2020-06-28",7
三重県,"2020-06-22","2020-06-28",0
滋賀県,"2020-06-22","2020-06-28",1
京都府,"2020-06-22","2020-06-28",8
大阪府,"2020-06-22","2020-06-28",116
兵庫県,"2020-06-22","2020-06-28",4
奈良県,"2020-06-22","2020-06-28",1
和歌山県,"2020-06-22","2020-06-28",1
鳥取県,"2020-06-22","2020-06-28",0
島根県,"2020-06-22","2020-06-28",0
岡山県,"2020-06-22","2020-06-28",2
広島県,"2020-06-22","2020-06-28",30
山口県,"2020-06-22","2020-06-28",3
徳島県,"2020-06-22","2020-06-28",1
香川県,"2020-06-22","2020-06-28",5
愛媛県,"2020-06-22","2020-06-28",0
高知県,"2020-06-22","2020-06-28",1
福岡県,"2020-06-22","2020-06-28",9
佐賀県,"2020-06-22","2020-06-28",1
長崎県,"2020-06-22","2020-06-28",2
熊本県,"2020-06-22","2020-06-28",7
大分県,"2020-06-22","2020-06-28",1
宮崎県,"2020-06-22","2020-06-28",7
鹿児島県,"2020-06-22","2020-06-28",1
沖縄県,"2020-06-22","2020-06-28",0
北海道,"2020-06-29","2020-07-05",44
青森県,"2020-06-29","2020-07-05",0
岩手県,"2020-06-29","2020-07-05",3
宮城県,"2020-06-29","2020-07-05",15
秋田県,"2020-06-29","2020-07-05",0
山形県,"2020-06-29","2020-07-05",3
福島県,"2020-06-29","2020-07-05",0
茨城県,"2020-06-29","2020-07-05",16
栃木県,"2020-06-29","2020-07-05",2
群馬県,"2020-06-29","2020-07-05",0
埼玉県,"2020-06-29","2020-07-05",29
千葉県,"2020-06-29","2020-07-05",42
東京都,"2020-06-29","2020-07-05",401
神奈川県,"2020-06-29","2020-07-05",39
新潟県,"2020-06-29","2020-07-05",11
富山県,"2020-06-29","2020-07-05",0
石川県,"2020-06-29","2020-07-05",1
福井県,"2020-06-29","2020-07-05",0
山梨県,"2020-06-29","2020-07-05",1
